Country,Disaster Type,Total Deaths,Disaster_Occurred
United States Of America,Storm,455.0,1
Myanmar,Storm,1000.0,1
United States Of America,Extreme temperature,1193.0,1
Canada,Extreme temperature,500.0,1
Republic Of Korea,Storm,1104.0,1
Philippines,Storm,517.0,1
India,Storm,233.0,1
United States Of America,Air,17.0,1
Indonesia,Earthquake,17.0,1
Canada,Rail,22.0,1
Belgium,Explosion (Industrial),26.0,1
Indonesia,Earthquake,9.0,1
India,Explosion (Industrial),205.0,1
Bolivia (Plurinational State Of),Air,13.0,1
Mexico,Air,14.0,1
United States Of America,Air,13.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,10.0,1
Germany,Air,11.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,16.0,1
United States Of America,Air,14.0,1
United States Of America,Air,12.0,1
Colombia,Earthquake,,1
China,Earthquake,,1
Indonesia,Earthquake,,1
Iran (Islamic Republic Of),Earthquake,12.0,1
China,Earthquake,115.0,1
Colombia,Earthquake,18.0,1
China,Earthquake,30.0,1
Taiwan (Province Of China),Earthquake,10.0,1
El Salvador,Earthquake,400.0,1
United States Of America,Flood,385.0,1
China,Fire (Miscellaneous),658.0,1
Germany,Air,36.0,1
Papua New Guinea,Volcanic activity,506.0,1
India,Rail,107.0,1
Bangladesh,Storm,,1
Philippines,Storm,231.0,1
Jamaica,Flood,111.0,1
Algeria,Air,12.0,1
Jamaica,Mass movement (dry),40.0,1
"China, Hong Kong Special Administrative Region",Storm,11000.0,1
Belgium,Air,15.0,1
Belgium,Air,11.0,1
United States Of America,Air,11.0,1
United States Of America,Air,13.0,1
United States Of America,Air,19.0,1
Germany,Air,10.0,1
Mexico,Earthquake,34.0,1
China,Earthquake,390.0,1
Philippines,Earthquake,1.0,1
Greece,Flood,14.0,1
United States Of America,Mass movement (wet),200.0,1
Türkiye,Earthquake,149.0,1
United States Of America,Air,10.0,1
United States Of America,Storm,600.0,1
Philippines,Storm,305.0,1
Romania,Rail,150.0,1
United States Of America,Air,11.0,1
Indonesia,Earthquake,,1
Canada,Fire (Miscellaneous),20.0,1
Canada,Industrial accident (General),20.0,1
Soviet Union,Air,13.0,1
Italy,Air,19.0,1
United States Of America,Air,10.0,1
Japan,Flood,933.0,1
New Zealand,Flood,21.0,1
United States Of America,Air,10.0,1
Italy,Air,20.0,1
Romania,Air,14.0,1
Philippines,Air,15.0,1
Germany,Air,16.0,1
Italy,Air,15.0,1
China,Air,14.0,1
Switzerland,Air,13.0,1
Germany Federal Republic,Air,20.0,1
Australia,Air,18.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,14.0,1
Gambia,Air,11.0,1
Japan,Air,10.0,1
Chile,Earthquake,30000.0,1
Pakistan,Storm,,1
New Caledonia,Storm,3.0,1
France,Water,63.0,1
Ghana,Earthquake,22.0,1
China,Flood,500000.0,1
Venezuela (Bolivarian Republic Of),Fire (Miscellaneous),500.0,1
Türkiye,Earthquake,13.0,1
Türkiye,Earthquake,32962.0,1
Belgium,Explosion (Industrial),11.0,1
Brazil,Air,10.0,1
Belgium,Rail,18.0,1
Australia,Wildfire,71.0,1
France,Air,10.0,1
United States Of America,Air,13.0,1
Brazil,Air,14.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,10.0,1
Türkiye,Earthquake,60.0,1
Belgium,Explosion (Industrial),12.0,1
Japan,Earthquake,27.0,1
Peru,Earthquake,37.0,1
Romania,Earthquake,980.0,1
France,Flood,57.0,1
United States Of America,Fire (Miscellaneous),207.0,1
United States Of America,Storm,50.0,1
Vanuatu,Storm,,1
Türkiye,Earthquake,37.0,1
United States Of America,Earthquake,9.0,1
Peru,Earthquake,179.0,1
Jamaica,Flood,125.0,1
Philippines,Storm,73.0,1
Belgium,Gas leak,25.0,1
Belgium,Rail,20.0,1
Australia,Air,10.0,1
Romania,Air,21.0,1
United States Of America,Air,25.0,1
United States Of America,Air,10.0,1
Germany,Air,29.0,1
United States Of America,Air,10.0,1
Sudan,Epidemic,1500.0,1
China,Earthquake,181.0,1
Türkiye,Earthquake,16.0,1
China,Earthquake,,1
Spain,Flood,90.0,1
Burkina Faso,Drought,,1
Cabo Verde,Drought,20000.0,1
Gambia,Drought,,1
Guinea-Bissau,Drought,,1
Mali,Drought,,1
Mauritania,Drought,,1
Niger,Drought,,1
Senegal,Drought,,1
Chad,Drought,,1
Fiji,Storm,6.0,1
Bangladesh,Storm,5000.0,1
Peru,Mass movement (wet),5000.0,1
United States Of America,Fire (Miscellaneous),120.0,1
South Africa,Air,10.0,1
Myanmar,Earthquake,15.0,1
Hungary,Air,12.0,1
South Africa,Air,10.0,1
Canada,Air,12.0,1
Romania,Air,15.0,1
Japan,Air,18.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,22.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,22.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,10.0,1
France,Air,15.0,1
United States Of America,Air,14.0,1
Canada,Air,20.0,1
Belgium,Water,37.0,1
Yemen Arab Republic,Earthquake,1200.0,1
Iran (Islamic Republic Of),Earthquake,730.0,1
China,Earthquake,132.0,1
Türkiye,Earthquake,430.0,1
China,Earthquake,15.0,1
Türkiye,Earthquake,15.0,1
Taiwan (Province Of China),Earthquake,319.0,1
Spain,Storm,20.0,1
Portugal,Storm,120.0,1
Ecuador,Earthquake,200.0,1
United States Of America,Fire (Miscellaneous),492.0,1
Cook Islands,Storm,,1
China,Industrial accident (General),1549.0,1
Bangladesh,Storm,61000.0,1
India,Storm,40000.0,1
Türkiye,Earthquake,3000.0,1
China,Earthquake,30.0,1
Canada,Fire (Miscellaneous),99.0,1
Belgium,Explosion (Industrial),200.0,1
Belgium,Explosion (Industrial),50.0,1
United States Of America,Air,22.0,1
Indonesia,Air,13.0,1
China,Air,13.0,1
Australia,Air,27.0,1
United States Of America,Air,17.0,1
United States Of America,Air,21.0,1
United Kingdom Of Great Britain And Northern Ireland,Air,14.0,1
Algeria,Air,25.0,1
Puerto Rico,Air,22.0,1
United States Of America,Air,11.0,1
United States Of America,Air,12.0,1
United States Of America,Air,17.0,1
China,Earthquake,90.0,1
Peru,Earthquake,30.0,1
Albania,Earthquake,43.0,1
Türkiye,Earthquake,16.0,1
Türkiye,Earthquake,17.0,1
India,Drought,1500000.0,1
United States Of America,Flood,,1
Peru,Earthquake,200.0,1
Mexico,Volcanic activity,,1
Cook Islands,Storm,,1
Chile,Earthquake,12.0,1
India,Storm,5000.0,1
India,Storm,,1
Türkiye,Earthquake,4020.0,1
Indonesia,Earthquake,213.0,1
