Country,Predicted_Disaster_Risk,Historical_Risk,Combined_Risk,Year
Kiribati,0.3702815699658703,33.333333333333336,0.2594325866594564,2026
Kuwait,0.369613196814562,22.4,0.25888748549340274,2026
Kyrgyzstan,0.40007394766780435,29.22222222222222,0.2802582075698641,2026
Lao People'S Democratic Republic,0.4624687144482366,43.707317073170735,0.32403687615905213,2026
Latvia,0.5158845278725825,42.22222222222222,0.3614174539097142,2026
Lebanon,0.4300028441410694,59.0,0.30141880409827315,2026
Lesotho,0.45736348122866893,20.625,0.3203001448641394,2026
Liberia,0.48289817974971555,251.3913043478261,0.339804712501036,2026
Libya,0.4497866894197952,238.075,0.31653259450024335,2026
Liechtenstein,0.4299914675767918,1.0,0.30100109193425467,2026
Lithuania,0.36124288964732654,78.2857142857143,0.2534230823980183,2026
Luxembourg,0.4677986348122867,56.4,0.3278574895288241,2026
Madagascar,0.479183731513083,60.43,0.3358555276802983,2026
Malawi,0.47717007963594993,95.04166666666667,0.33469049000230866,2026
Malaysia,0.4455972696245734,31.398058252427184,0.3121399044171853,2026
Maldives,0.47408703071672353,62.666666666666664,0.3323036383463992,2026
Mali,0.4849744027303754,70.21917808219177,0.3399781544584564,2026
Malta,0.48943117178612056,48.333333333333336,0.3429432773911379,2026
Marshall Islands,0.470179180887372,6.0,0.3291678144041628,2026
Martinique,0.3861945392491468,2736.7272727272725,0.28967014443663347,2026
Mauritania,0.4393430034129693,26.214285714285715,0.3077252966314823,2026
Mauritius,0.4090728100113766,15.9375,0.286463559556564,2026
Mayotte,0.3793714448236633,24.75,0.2657348609814495,2026
Mexico,0.5032337883959045,72.48036951501155,0.35277569890629024,2026
Micronesia (Federated States Of),0.4941496018202503,15.4,0.34601351658388163,2026
Mongolia,0.36070534698521045,55.4375,0.25288538834301416,2026
Montenegro,0.5522497155858931,48.0,0.38691390317414515,2026
Montserrat,0.4942377701934016,21.5,0.34611832869114,2026
Morocco,0.5004379977246871,159.0681818181818,0.35143035633619946,2026
Mozambique,0.4603071672354949,828.5151515151514,0.3280681704742976,2026
Myanmar,0.49543799772468716,1143.8370370370371,0.3548873844266389,2026
Namibia,0.4382764505119454,34.68421052631579,0.30703854648992884,2026
Nepal,0.46345847554038677,133.77358490566039,0.3253659938263453,2026
Netherlands (Kingdom Of The),0.47408987485779297,158.53658536585365,0.3329829147968625,2026
Netherlands Antilles,0.46,9.333333333333334,0.32206593655133725,2026
New Caledonia,0.470179180887372,2.0,0.32913955588216115,2026
New Zealand,0.4566609783845279,240.6969696969697,0.32136312002264855,2026
Nicaragua,0.49,274.703125,0.3449406760754347,2026
Niger,0.3641240045506257,2032.1958762886597,0.2692435161558875,2026
Nigeria,0.4333731513083049,101.34046692607004,0.30407713886938575,2026
Niue,0.4297838452787258,1.0,0.3008557563256085,2026
North Macedonia,0.48436006825938566,20.842105263157894,0.33919928955410494,2026
Northern Mariana Islands,0.3719368600682594,2.5,0.26037346362403263,2026
Norway,0.41,36.75,0.28725962517089026,2026
Oman,0.49437144482366324,21.65,0.3462129606268983,2026
Pakistan,0.3924232081911263,387.6181818181818,0.27743462496357707,2026
Palau,0.5013139931740614,1.0,0.3509268598523434,2026
Panama,0.4702758816837315,14.673076923076923,0.3292967770453778,2026
Papua New Guinea,0.4693003412969283,171.955223880597,0.32972503902718264,2026
Paraguay,0.37896757679180887,33.44,0.2655135449982001,2026
People'S Democratic Republic Of Yemen,0.47988054607508535,170.0,0.3371173694376305,2026
Peru,0.47270762229806595,284.6795580110497,0.3329064914970161,2026
Philippines,0.4597866894197953,112.62729658792651,0.32264635282851123,2026
Poland,0.48050625711035266,83.30864197530866,0.33694292475029386,2026
Portugal,0.44,153.3548387096774,0.3090833952709348,2026
Puerto Rico,0.4694567690557451,52.27777777777778,0.3289890615224045,2026
Qatar,0.47999715585893055,18.0,0.33612517245025886,2026
Republic Of Korea,0.4220051194539249,71.64021164021165,0.29590969524195715,2026
Republic Of Moldova,0.45035267349260527,9.454545454545457,0.3153136643150094,2026
Romania,0.41113196814562003,153.5686274509804,0.2888772833113313,2026
Russian Federation,0.390042662116041,208.08206686930092,0.27449988639742323,2026
Rwanda,0.3998976109215018,28.844827586206897,0.28013210569379593,2026
Réunion,0.4597866894197953,22.53846153846154,0.3220099084966737,2026
Saint Barthélemy,0.4112343572241183,4.0,0.2878923085788845,2026
Saint Helena,0.4793714448236633,,0.33869435464183223,2026
Saint Kitts And Nevis,0.43274459613196814,3.0,0.3029424111838789,2026
Saint Lucia,0.4595506257110353,6.0,0.3217278257807271,2026
Saint Martin (French Part),0.47,12.0,0.32908477556600496,2026
Saint Vincent And The Grenadines,0.49997440273037547,172.7,0.35120214359868474,2026
Samoa,0.4787087599544937,59.333333333333336,0.33551530004450364,2026
Sao Tome And Principe,0.4549431171786121,41.166666666666664,0.3187510093139623,2026
Saudi Arabia,0.4895420932878271,111.75949367088607,0.34346900482917736,2026
Senegal,0.4328953356086462,38.14285714285715,0.3032962001179968,2026
Serbia,0.49,203.83333333333334,0.3444400071836682,2026
Serbia Montenegro,0.4781484641638225,12.125,0.33478958355949334,2026
Seychelles,0.4990500568828214,4.0,0.34936329833997665,2026
Sierra Leone,0.4,149.4285714285714,0.28105565764334794,2026
Singapore,0.47027303754266214,8.0,0.3292476433238668,2026
Sint Maarten (Dutch Part),0.40024175199089873,4.0,0.2801974849156308,2026
Slovakia,0.4596302616609784,49.37931034482759,0.3220900297446365,2026
Slovenia,0.41123435722411833,65.53846153846153,0.2883270550712178,2026
Solomon Islands,0.44005403868031856,40.61904761904761,0.30832478563893034,2026
Somalia,0.40706200227531286,546.436170212766,0.28880377122733486,2026
South Africa,0.4870079635949943,27.308474576271188,0.34109849879890736,2026
South Sudan,0.4928071672354949,61.86363636363637,0.34540206079716756,2026
Soviet Union,0.5356626848691696,42465.06593406594,0.6749638794084186,2026
Spain,0.4465301478953356,316.7124183006536,0.31480855973692234,2026
Sri Lanka,0.5095904436860068,324.25984251968504,0.3590040865537296,2026
State Of Palestine,0.43982366325369743,7.125,0.3079268997699037,2026
Sudan,0.46856086461888513,1021.2060606060606,0.3352070487161873,2026
Suriname,0.39476393629124007,35.666666666666664,0.2765867272250495,2026
Sweden,0.46612912400455064,15.5,0.3263998885759419,2026
Switzerland,0.47666951080773606,55.0,0.3340572122429381,2026
Syrian Arab Republic,0.47705062571103524,149.37777777777777,0.334990736802698,2026
Taiwan (Province Of China),0.4838879408418657,108.17142857142858,0.33948574976286533,2026
Tajikistan,0.36406996587030716,48.50980392156863,0.2551916799495686,2026
Thailand,0.4836063708759954,81.37280701754386,0.3390993284275574,2026
Timor-Leste,0.3905489192263937,11.625,0.27346636978804284,2026
Togo,0.47917804323094426,55.285714285714285,0.33581520340504106,2026
Tokelau,0.49565415244596134,,0.3500922499774409,2026
Tonga,0.47211035267349255,9.636363636363637,0.33054532421990335,2026
Trinidad And Tobago,0.5107480091012514,9.875,0.3575933695970676,2026
Tunisia,0.43900455062571103,39.93846153846154,0.307585335911522,2026
Turkmenistan,0.49080204778157,22.0,0.3437168553181081,2026
